game_id,game_event_id,player_name,period,minutes_remaining,seconds_remaining,action_type,shot_type,shot_zone_basic,shot_zone_area,shot_zone_range,shot_distance,loc_x,loc_y,shot_made_flag,game_date,htm,vtm,season_type,scoremargin_before_shot
21800002,10,Stephen Curry,1,11,31,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,226,90,1,10/16/2018,GSW,OKC,Regular Season,0
21800002,58,Stephen Curry,1,7,57,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-2,63,1,10/16/2018,GSW,OKC,Regular Season,4
21800002,131,Stephen Curry,1,3,46,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,5,29,1,10/16/2018,GSW,OKC,Regular Season,4
21800002,141,Stephen Curry,1,2,58,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-6,18,0,10/16/2018,GSW,OKC,Regular Season,7
21800002,145,Stephen Curry,1,2,49,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-228,8,1,10/16/2018,GSW,OKC,Regular Season,7
21800002,276,Stephen Curry,2,6,39,Driving Floating Bank Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,9,96,25,0,10/16/2018,GSW,OKC,Regular Season,5
21800002,293,Stephen Curry,2,6,5,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,28,-204,195,1,10/16/2018,GSW,OKC,Regular Season,6
21800002,368,Stephen Curry,2,1,3,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,6,25,1,10/16/2018,GSW,OKC,Regular Season,6
21800002,374,Stephen Curry,2,0,44,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Right Side(R),8-16 ft.,12,113,52,0,10/16/2018,GSW,OKC,Regular Season,8
21800002,418,Stephen Curry,3,9,47,Running Pull-Up Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,25,281,1,10/16/2018,GSW,OKC,Regular Season,3
21800002,470,Stephen Curry,3,5,20,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,28,5,282,1,10/16/2018,GSW,OKC,Regular Season,1
21800002,474,Stephen Curry,3,5,3,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-21,267,0,10/16/2018,GSW,OKC,Regular Season,4
21800002,478,Stephen Curry,3,4,50,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,144,221,0,10/16/2018,GSW,OKC,Regular Season,4
21800002,509,Stephen Curry,3,3,1,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,18,257,0,10/16/2018,GSW,OKC,Regular Season,0
21800002,533,Stephen Curry,3,1,28,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,199,173,0,10/16/2018,GSW,OKC,Regular Season,4
21800002,537,Stephen Curry,3,1,11,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,14,1,10/16/2018,GSW,OKC,Regular Season,4
