Store,DayOfWeek,Date,Sales,Customers,Promo,SchoolHoliday
628,1,1/7/2013,9862,1092,1,0
632,1,1/7/2013,8643,1038,1,0
679,1,1/7/2013,14884,1465,1,0
680,1,1/7/2013,5827,878,1,0
683,1,1/7/2013,14337,1248,1,0
698,1,1/7/2013,19682,2298,1,0
709,1,1/7/2013,15620,1820,1,0
725,1,1/7/2013,6904,718,1,0
763,1,1/7/2013,8395,741,1,0
768,1,1/7/2013,20564,1890,1,0
774,1,1/7/2013,7845,939,1,0
801,1,1/7/2013,6771,555,1,0
802,1,1/7/2013,10633,743,1,0
819,1,1/7/2013,8596,707,1,0
822,1,1/7/2013,12063,864,1,0
824,1,1/7/2013,7525,833,1,0
834,1,1/7/2013,10019,969,1,0
839,1,1/7/2013,9781,1026,1,0
840,1,1/7/2013,11492,1365,1,0
843,1,1/7/2013,12152,1287,1,0
862,1,1/7/2013,12571,1506,1,0
896,1,1/7/2013,8595,1188,1,0
912,1,1/7/2013,6182,758,1,0
914,1,1/7/2013,12597,1408,1,0
923,1,1/7/2013,6595,694,1,0
938,1,1/7/2013,13564,1257,1,0
957,1,1/7/2013,13962,1289,1,0
958,1,1/7/2013,7404,858,1,0
987,1,1/7/2013,11147,1205,1,0
988,1,1/7/2013,5916,829,1,0
1002,1,1/7/2013,7805,857,1,0
1007,1,1/7/2013,8695,858,1,0
1010,1,1/7/2013,11062,890,1,0
1024,1,1/7/2013,7271,830,1,0
1033,1,1/7/2013,20859,1804,1,0
1057,1,1/7/2013,7821,727,1,0
1071,1,1/7/2013,8431,984,1,0
1075,1,1/7/2013,14393,1315,1,0
1091,1,1/7/2013,13524,976,1,0
1106,1,1/7/2013,7369,747,1,0
1113,1,1/7/2013,8984,907,1,0
4,6,1/5/2013,10338,1514,0,0
8,6,1/5/2013,2337,312,0,0
11,6,1/5/2013,5734,850,0,0
12,6,1/5/2013,6392,818,0,0
34,6,1/5/2013,7707,1002,0,0
44,6,1/5/2013,3652,483,0,0
48,6,1/5/2013,3418,390,0,0
68,6,1/5/2013,6782,1136,0,0
73,6,1/5/2013,2373,274,0,0
101,6,1/5/2013,6382,764,0,0
109,6,1/5/2013,5011,664,0,0
110,6,1/5/2013,2396,338,0,0
119,6,1/5/2013,4694,545,0,0
134,6,1/5/2013,3636,332,0,0
163,6,1/5/2013,8892,1021,0,0
185,6,1/5/2013,7082,550,0,0
197,6,1/5/2013,5843,763,0,0
211,6,1/5/2013,11563,1234,0,0
217,6,1/5/2013,3675,581,0,0
221,6,1/5/2013,4831,484,0,0
236,6,1/5/2013,4452,562,0,0
237,6,1/5/2013,4034,465,0,0
248,6,1/5/2013,7494,1026,0,0
249,6,1/5/2013,4535,479,0,0
257,6,1/5/2013,2997,344,0,0
260,6,1/5/2013,6428,871,0,0
268,6,1/5/2013,3684,486,0,0
270,6,1/5/2013,8046,1078,0,0
278,6,1/5/2013,4935,592,0,0
301,6,1/5/2013,4065,464,0,0
304,6,1/5/2013,5151,799,0,0
315,6,1/5/2013,2353,266,0,0
333,6,1/5/2013,7688,1054,0,0
340,6,1/5/2013,4505,525,0,0
344,6,1/5/2013,6156,895,0,0
374,6,1/5/2013,4051,479,0,0
377,6,1/5/2013,5045,754,0,0
379,6,1/5/2013,2971,346,0,0
398,6,1/5/2013,4738,616,0,0
439,6,1/5/2013,6465,838,0,0
447,6,1/5/2013,5261,614,0,0
459,6,1/5/2013,5680,726,0,0
472,6,1/5/2013,4786,658,0,0
478,6,1/5/2013,4720,533,0,0
480,6,1/5/2013,2662,367,0,0
487,6,1/5/2013,6199,682,0,0
496,6,1/5/2013,6567,835,0,0
511,6,1/5/2013,5240,768,0,0
531,6,1/5/2013,3505,446,0,0
549,6,1/5/2013,3364,371,0,0
551,6,1/5/2013,4885,787,0,0
566,6,1/5/2013,2846,367,0,0
569,6,1/5/2013,2771,353,0,0
576,6,1/5/2013,6655,1031,0,0
577,6,1/5/2013,3957,513,0,0
580,6,1/5/2013,9086,1542,0,0
585,6,1/5/2013,5343,795,0,0
593,6,1/5/2013,7491,988,0,0
599,6,1/5/2013,11499,1095,0,0
628,6,1/5/2013,3629,502,0,0
632,6,1/5/2013,6958,946,0,0
679,6,1/5/2013,7922,889,0,0
680,6,1/5/2013,6163,974,0,0
683,6,1/5/2013,6967,633,0,0
698,6,1/5/2013,14232,1834,0,0
709,6,1/5/2013,3541,409,0,0
725,6,1/5/2013,4882,549,0,0
763,6,1/5/2013,5300,594,0,0
768,6,1/5/2013,10051,1168,0,0
774,6,1/5/2013,4455,558,0,0
801,6,1/5/2013,3199,343,0,0
802,6,1/5/2013,6764,567,0,0
819,6,1/5/2013,5284,437,0,0
822,6,1/5/2013,6961,706,0,0
824,6,1/5/2013,3424,434,0,0
834,6,1/5/2013,3705,425,0,0
839,6,1/5/2013,2924,399,0,0
840,6,1/5/2013,4620,684,0,0
843,6,1/5/2013,10634,1365,0,0
862,6,1/5/2013,6271,840,0,0
896,6,1/5/2013,6517,1073,0,0
912,6,1/5/2013,6605,893,0,0
914,6,1/5/2013,6354,769,0,0
923,6,1/5/2013,5408,565,0,0
938,6,1/5/2013,7606,837,0,0
957,6,1/5/2013,4913,546,0,0
958,6,1/5/2013,2950,394,0,0
987,6,1/5/2013,4392,566,0,0
988,6,1/5/2013,3849,590,0,0
1002,6,1/5/2013,5403,707,0,0
1007,6,1/5/2013,7446,1033,0,0
1010,6,1/5/2013,9169,917,0,0
1024,6,1/5/2013,5952,858,0,0
1033,6,1/5/2013,11317,1078,0,0
1057,6,1/5/2013,6819,694,0,0
1071,6,1/5/2013,4059,510,0,0
1075,6,1/5/2013,13819,1237,0,0
1091,6,1/5/2013,6323,575,0,0
1106,6,1/5/2013,2624,360,0,0
1113,6,1/5/2013,5194,569,0,0
4,5,1/4/2013,8290,1232,0,1
8,5,1/4/2013,4059,517,0,1
11,5,1/4/2013,7768,1060,0,1
12,5,1/4/2013,4642,694,0,1
34,5,1/4/2013,6885,936,0,1
44,5,1/4/2013,4407,560,0,1
48,5,1/4/2013,4158,461,0,1
68,5,1/4/2013,5645,1023,0,1
73,5,1/4/2013,3932,447,0,1
101,5,1/4/2013,6553,709,0,1
109,5,1/4/2013,5196,642,0,1
110,5,1/4/2013,4201,553,0,1
119,5,1/4/2013,5047,573,0,1
134,5,1/4/2013,4695,488,0,1
163,5,1/4/2013,8587,1011,0,1
185,5,1/4/2013,6601,528,0,1
197,5,1/4/2013,5819,857,0,1
211,5,1/4/2013,10752,1297,0,1
217,5,1/4/2013,3728,569,0,1
221,5,1/4/2013,5842,542,0,1
236,5,1/4/2013,6402,834,0,1
237,5,1/4/2013,4391,576,0,1
248,5,1/4/2013,7890,1096,0,1
249,5,1/4/2013,4453,488,0,1
257,5,1/4/2013,6094,725,0,1
260,5,1/4/2013,6765,904,0,1
268,5,1/4/2013,4072,579,0,1
270,5,1/4/2013,7329,1010,0,1
278,5,1/4/2013,5957,733,0,1
301,5,1/4/2013,4605,576,0,1
304,5,1/4/2013,5552,885,0,1
